citizenship_status,agegroup,sex,province,education,cps19_v_likely,cps19_votechoice
Canadian citizen,71 to 80,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,ndp
Canadian citizen,51 to 60,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Likely to vote,Conservative Party
Canadian citizen,51 to 60,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,above 80,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,ndp
Canadian citizen,61 to 70,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,above 80,Male,Ontario,Less than high school diploma or its equivalent,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,51 to 60,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,41 to 50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,above 80,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Ontario,University certificate or diploma below the bachelor's level,Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,21 to 30,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Another party (please specify)
Canadian citizen,51 to 60,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,61 to 70,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,20 or less,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Green Party
Canadian citizen,61 to 70,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,61 to 70,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,51 to 60,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,51 to 60,Male,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,ndp
Canadian citizen,31 to 40,Female,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Green Party
Canadian citizen,71 to 80,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,Less than high school diploma or its equivalent,Likely to vote,Liberal Party
Canadian citizen,31 to 40,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Quebec,"College, CEGEP or other non-university certificate or di...",Certain to vote,Bloc Québécois
Canadian citizen,above 80,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,71 to 80,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,ndp
Canadian citizen,41 to 50,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Conservative Party
Canadian citizen,71 to 80,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Bloc Québécois
Canadian citizen,51 to 60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Conservative Party
Canadian citizen,21 to 30,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Green Party
Canadian citizen,21 to 30,Male,Ontario,"University certificate, diploma or degree above the bach...",Likely to vote,Liberal Party
Canadian citizen,71 to 80,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,31 to 40,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Conservative Party
Canadian citizen,71 to 80,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,21 to 30,Male,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Green Party
Canadian citizen,51 to 60,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Liberal Party
Canadian citizen,31 to 40,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,41 to 50,Female,Quebec,University certificate or diploma below the bachelor's level,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Male,New Brunswick,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,61 to 70,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,41 to 50,Male,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,61 to 70,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,ndp
Canadian citizen,61 to 70,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Liberal Party
Canadian citizen,61 to 70,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Likely to vote,Liberal Party
Canadian citizen,31 to 40,Male,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,ndp
Canadian citizen,71 to 80,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,41 to 50,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Female,Quebec,High school diploma or a high school equivalency certificate,Certain to vote,Bloc Québécois
Canadian citizen,41 to 50,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Conservative Party
Canadian citizen,41 to 50,Female,Quebec,"University certificate, diploma or degree above the bach...",Certain to vote,Green Party
Canadian citizen,31 to 40,Male,Alberta,Less than high school diploma or its equivalent,Certain to vote,Liberal Party
Canadian citizen,21 to 30,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Female,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Female,Ontario,High school diploma or a high school equivalency certificate,Certain to vote,Conservative Party
Canadian citizen,71 to 80,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Bloc Québécois
Canadian citizen,61 to 70,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,above 80,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,71 to 80,Female,Ontario,High school diploma or a high school equivalency certificate,Likely to vote,Conservative Party
Canadian citizen,51 to 60,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Likely to vote,Green Party
Canadian citizen,61 to 70,Male,Prince Edward Island,"University certificate, diploma or degree above the bach...",Certain to vote,Liberal Party
Canadian citizen,41 to 50,Male,Ontario,"University certificate, diploma or degree above the bach...",Certain to vote,People's Party
Canadian citizen,51 to 60,Female,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Conservative Party
Canadian citizen,31 to 40,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
Canadian citizen,51 to 60,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,ndp
Canadian citizen,61 to 70,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Certain to vote,Liberal Party
Canadian citizen,61 to 70,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Green Party
Canadian citizen,71 to 80,Male,Ontario,"College, CEGEP or other non-university certificate or di...",Certain to vote,Liberal Party
